#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Running","NcbService","Network Connection Broker",
"Running","NcdAutoSetup","Network Connected Devices Auto-Setup",
"Stopped","Netlogon","Netlogon",
"Running","Netman","Network Connections",
"Running","netprofm","Network List Service",
"Stopped","NetSetupSvc","Network Setup Service",
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service",
"Stopped","NgcCtnrSvc","Microsoft Passport Container",
"Stopped","NgcSvc","Microsoft Passport",
"Running","NlaSvc","Network Location Awareness",
"Running","nsi","Network Store Interface Service",
"Running","nvagent","Network Virtualization Service",
"Running","NvContainerLocalSystem","NVIDIA LocalSystem Container",
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS",
"Running","OneSyncSvc_624b9","OneSyncSvc_624b9",
"Stopped","p2pimsvc","Peer Networking Identity Manager",
"Stopped","p2psvc","Peer Networking Grouping",
"Running","PcaSvc","Program Compatibility Assistant Service",
"Stopped","PeerDistSvc","BranchCache",
"Stopped","perceptionsimulation","Windows Perception Simulation Service",
"Stopped","PerfHost","Performance Counter DLL Host",
"Stopped","PhoneSvc","Phone Service",
"Running","PimIndexMaintenanceSvc_624b9","PimIndexMaintenanceSvc_624b9",
"Stopped","pla","Performance Logs & Alerts",
"Running","PlugPlay","Plug and Play",
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service",
"Stopped","PNRPsvc","Peer Name Resolution Protocol",
"Stopped","PolicyAgent","IPsec Policy Agent",
"Running","Power","Power",
"Stopped","PrintNotify","Printer Extensions and Notifications",
"Stopped","PrintWorkflowUserSvc_624b9","PrintWorkflowUserSvc_624b9",
"Running","PrivateInternetAccessService","Private Internet Access Service",
"Stopped","PrivateInternetAccessWireguard","Private Internet Access WireGuard Tunnel",
"Running","ProfSvc","User Profile Service",
"Stopped","PushToInstall","Windows PushToInstall Service",
"Running","QWAVE","Quality Windows Audio Video Experience",
"Stopped","RasAuto","Remote Access Auto Connection Manager",
"Running","RasMan","Remote Access Connection Manager",
"Stopped","RemoteAccess","Routing and Remote Access",
"Stopped","RemoteRegistry","Remote Registry",
"Stopped","RetailDemo","Retail Demo Service",
"Running","RmSvc","Radio Management Service",
"Running","RpcEptMapper","RPC Endpoint Mapper",
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator",
"Running","RpcSs","Remote Procedure Call (RPC)",
"Running","SamSs","Security Accounts Manager",
"Running","SCardSvr","Smart Card",
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service",
"Running","Schedule","Task Scheduler",
"Stopped","SCPolicySvc","Smart Card Removal Policy",
"Stopped","SDRSVC","Windows Backup",
"Running","seclogon","Secondary Logon",
"Running","SecurityHealthService","Windows Security Service",
"Running","SEMgrSvc","Payments and NFC/SE Manager",
"Running","SENS","System Event Notification Service",
"Stopped","Sense","Windows Defender Advanced Threat Protection Service",
"Stopped","SensorDataService","Sensor Data Service",
"Stopped","SensorService","Sensor Service",
"Stopped","SensrSvc","Sensor Monitoring Service",
"Running","SessionEnv","Remote Desktop Configuration",
"Running","SEVPNCLIENT","SoftEther VPN Client",
"Running","SgrmBroker","System Guard Runtime Monitor Broker",
"Running","SharedAccess","Internet Connection Sharing (ICS)",
"Stopped","SharedRealitySvc","Spatial Data Service",
"Running","ShellHWDetection","Shell Hardware Detection",
"Stopped","shpamsvc","Shared PC Account Manager",
"Stopped","smphost","Microsoft Storage Spaces SMP",
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.",
"Stopped","SNMPTRAP","SNMP Trap",
"Stopped","spectrum","Windows Perception Service",
"Running","Spooler","Print Spooler",
"Stopped","sppsvc","Software Protection",
"Running","SSDPSRV","SSDP Discovery",
"Stopped","ssh-agent","OpenSSH Authentication Agent",
"Running","SstpSvc","Secure Socket Tunneling Protocol Service",
"Running","SSUService","Splashtop Software Updater Service",
"Running","StateRepository","State Repository Service",
"Stopped","Steam Client Service","Steam Client Service",
"Stopped","stisvc","Windows Image Acquisition (WIA)",
"Running","StorSvc","Storage Service",
"Stopped","svsvc","Spot Verifier",
"Stopped","swprv","Microsoft Software Shadow Copy Provider",
"Running","SysMain","SysMain",
"Running","SystemEventsBroker","System Events Broker",
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service",
"Stopped","TapiSrv","Telephony",
"Running","TermService","Remote Desktop Services",
"Running","Themes","Themes",
"Stopped","TieringEngineService","Storage Tiers Management",
"Running","TimeBrokerSvc","Time Broker",
"Running","TokenBroker","Web Account Manager",
"Running","TrkWks","Distributed Link Tracking Client",
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service",
"Stopped","TrustedInstaller","Windows Modules Installer",
"Stopped","tzautoupdate","Auto Time Zone Updater",
"Stopped","UdkUserSvc_624b9","UdkUserSvc_624b9",
"Stopped","UevAgentService","User Experience Virtualization Service",
"Stopped","uhssvc","Microsoft Update Health Service",
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector",
"Running","UnistoreSvc_624b9","UnistoreSvc_624b9",
"Stopped","upnphost","UPnP Device Host",
"Running","UserDataSvc_624b9","UserDataSvc_624b9",
"Running","UserManager","User Manager",
"Running","UsoSvc","Update Orchestrator Service",
"Stopped","VacSvc","Volumetric Audio Compositor Service",
"Running","VaultSvc","Credential Manager",
"Stopped","vds","Virtual Disk",
"Running","VMAuthdService","VMware Authorization Service",
"Stopped","vmcompute","Hyper-V Host Compute Service",
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface",
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service",
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service",
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service",
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service",
"Stopped","vmictimesync","Hyper-V Time Synchronization Service",
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service",
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor",
"Running","VMnetDHCP","VMware DHCP Service",
"Running","VMUSBArbService","VMware USB Arbitration Service",
"Running","VMware NAT Service","VMware NAT Service",
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service",
"Stopped","VSS","Volume Shadow Copy",
"Stopped","W32Time","Windows Time",
"Stopped","WaaSMedicSvc","Windows Update Medic Service",
"Stopped","WalletService","WalletService",
"Stopped","WarpJITSvc","WarpJITSvc",
"Stopped","wbengine","Block Level Backup Engine Service",
"Stopped","WbioSrvc","Windows Biometric Service",
"Running","Wcmsvc","Windows Connection Manager",
"Stopped","wcncsvc","Windows Connect Now - Config Registrar",
"Running","WdiServiceHost","Diagnostic Service Host",
"Stopped","WdiSystemHost","Diagnostic System Host",
"Stopped","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service",
"Stopped","WebClient","WebClient",
"Stopped","Wecsvc","Windows Event Collector",
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service",
"Stopped","wercplsupport","Problem Reports Control Panel Support",
"Stopped","WerSvc","Windows Error Reporting Service",
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service",
"Stopped","WiaRpc","Still Image Acquisition Events",
"Stopped","WinDefend","Microsoft Defender Antivirus Service",
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service",
"Running","Winmgmt","Windows Management Instrumentation",
"Stopped","WinRM","Windows Remote Management (WS-Management)",
"Stopped","wisvc","Windows Insider Service",
"Running","WlanSvc","WLAN AutoConfig",
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant",
"Stopped","wlpasvc","Local Profile Assistant Service",
"Stopped","WManSvc","Windows Management Service",
"Stopped","wmiApSrv","WMI Performance Adapter",
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service",
"Stopped","workfolderssvc","Work Folders",
"Stopped","WpcMonSvc","Parental Controls",
"Stopped","WPDBusEnum","Portable Device Enumerator Service",
"Running","WpnService","Windows Push Notifications System Service",
"Running","WpnUserService_624b9","WpnUserService_624b9",
"Running","wscsvc","Security Center",
"Running","WSearch","Windows Search",
"Running","wuauserv","Windows Update",
"Stopped","WwanSvc","WWAN AutoConfig",
"Stopped","XblAuthManager","Xbox Live Auth Manager",
"Stopped","XblGameSave","Xbox Live Game Save",
"Stopped","XboxGipSvc","Xbox Accessory Management Service",
"Stopped","XboxNetApiSvc","Xbox Live Networking Service",
"Running","ZeroTierOneService","ZeroTier One",
