#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Running","NlaSvc","Network Location Awareness",
"Running","nsi","Network Store Interface Service",
"Running","nvagent","Network Virtualization Service",
"Running","NvContainerLocalSystem","NVIDIA LocalSystem Container",
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS",
"Running","OneSyncSvc_624b9","OneSyncSvc_624b9",
"Running","PcaSvc","Program Compatibility Assistant Service",
"Running","PimIndexMaintenanceSvc_624b9","PimIndexMaintenanceSvc_624b9",
"Running","PlugPlay","Plug and Play",
"Running","Power","Power",
"Running","PrivateInternetAccessService","Private Internet Access Service",
"Running","ProfSvc","User Profile Service",
"Running","QWAVE","Quality Windows Audio Video Experience",
"Running","RasMan","Remote Access Connection Manager",
"Running","RmSvc","Radio Management Service",
"Running","RpcEptMapper","RPC Endpoint Mapper",
"Running","RpcSs","Remote Procedure Call (RPC)",
"Running","SamSs","Security Accounts Manager",
"Running","SCardSvr","Smart Card",
"Running","Schedule","Task Scheduler",
"Running","seclogon","Secondary Logon",
"Running","SecurityHealthService","Windows Security Service",
"Running","SEMgrSvc","Payments and NFC/SE Manager",
"Running","SENS","System Event Notification Service",
"Running","SessionEnv","Remote Desktop Configuration",
"Running","SEVPNCLIENT","SoftEther VPN Client",
"Running","SgrmBroker","System Guard Runtime Monitor Broker",
"Running","SharedAccess","Internet Connection Sharing (ICS)",
"Running","ShellHWDetection","Shell Hardware Detection",
"Running","Spooler","Print Spooler",
"Running","SSDPSRV","SSDP Discovery",
"Running","SstpSvc","Secure Socket Tunneling Protocol Service",
"Running","SSUService","Splashtop Software Updater Service",
"Running","StateRepository","State Repository Service",
"Running","StorSvc","Storage Service",
"Running","SysMain","SysMain",
"Running","SystemEventsBroker","System Events Broker",
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service",
"Running","TermService","Remote Desktop Services",
"Running","Themes","Themes",
"Running","TimeBrokerSvc","Time Broker",
"Running","TokenBroker","Web Account Manager",
"Running","TrkWks","Distributed Link Tracking Client",
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector",
"Running","UnistoreSvc_624b9","UnistoreSvc_624b9",
"Running","UserDataSvc_624b9","UserDataSvc_624b9",
"Running","UserManager","User Manager",
"Running","UsoSvc","Update Orchestrator Service",
"Running","VaultSvc","Credential Manager",
"Running","VMAuthdService","VMware Authorization Service",
"Running","VMnetDHCP","VMware DHCP Service",
"Running","VMUSBArbService","VMware USB Arbitration Service",
"Running","VMware NAT Service","VMware NAT Service",
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service",
"Running","Wcmsvc","Windows Connection Manager",
"Running","WdiServiceHost","Diagnostic Service Host",
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service",
"Running","Winmgmt","Windows Management Instrumentation",
"Running","WlanSvc","WLAN AutoConfig",
"Running","WpnService","Windows Push Notifications System Service",
"Running","WpnUserService_624b9","WpnUserService_624b9",
"Running","wscsvc","Security Center",
"Running","WSearch","Windows Search",
"Running","wuauserv","Windows Update",
"Running","ZeroTierOneService","ZeroTier One",
